iter	Passed	Remaining
760	4852	1523
761	4858	1517
762	4864	1510
763	4869	1504
764	4874	1497
765	4879	1490
766	4885	1484
767	4889	1477
768	4895	1470
769	4901	1464
770	4907	1457
771	4914	1451
772	4919	1444
773	4926	1438
774	4933	1432
775	4941	1426
776	4947	1419
777	4952	1413
778	4959	1407
779	4965	1400
780	4972	1394
781	4980	1388
782	4993	1383
783	5001	1378
784	5012	1372
785	5019	1366
786	5027	1360
787	5037	1355
788	5056	1352
789	5064	1346
790	5070	1339
791	5074	1332
792	5082	1326
793	5087	1320
794	5096	1314
795	5100	1307
796	5106	1300
797	5111	1294
798	5117	1287
799	5124	1281
800	5130	1274
801	5134	1267
802	5140	1261
803	5146	1254
804	5153	1248
805	5159	1241
806	5164	1235
807	5170	1228
808	5177	1222
809	5182	1215
810	5189	1209
811	5195	1202
812	5201	1196
813	5206	1189
814	5215	1183
815	5222	1177
816	5227	1170
817	5232	1164
818	5241	1158
819	5254	1153
820	5265	1148
821	5271	1141
822	5278	1135
823	5285	1129
824	5291	1122
825	5297	1115
826	5303	1109
827	5308	1102
828	5313	1096
829	5322	1090
830	5327	1083
831	5336	1077
832	5342	1071
833	5348	1064
834	5353	1057
835	5358	1051
836	5363	1044
837	5369	1038
838	5375	1031
839	5380	1024
840	5385	1018
841	5390	1011
842	5395	1004
843	5401	998
844	5406	991
845	5411	985
846	5418	978
847	5424	972
848	5429	965
849	5434	959
850	5440	952
851	5444	945
852	5451	939
853	5457	933
854	5461	926
855	5467	919
856	5473	913
857	5479	906
858	5489	901
859	5496	894
860	5505	888
861	5516	883
862	5522	876
863	5529	870
864	5536	864
865	5541	857
866	5548	851
867	5553	844
868	5558	837
869	5564	831
870	5570	825
871	5576	818
872	5582	812
873	5587	805
874	5592	798
875	5598	792
876	5603	785
877	5610	779
878	5615	773
879	5620	766
880	5624	759
881	5630	753
882	5635	746
883	5640	740
884	5644	733
885	5650	726
886	5653	720
887	5661	714
888	5666	707
889	5670	700
890	5677	694
891	5681	687
892	5686	681
893	5693	675
894	5699	668
895	5704	662
896	5711	655
897	5719	649
898	5726	643
899	5733	637
900	5750	631
901	5758	625
902	5764	619
903	5770	612
904	5778	606
905	5783	600
906	5798	594
907	5807	588
908	5813	581
909	5820	575
910	5830	569
911	5838	563
912	5845	557
913	5853	550
914	5861	544
915	5868	538
916	5877	531
917	5884	525
918	5890	519
919	5896	512
920	5902	506
921	5909	499
922	5915	493
923	5925	487
924	5930	480
925	5939	474
926	5945	468
927	5950	461
928	5957	455
929	5968	449
930	5980	443
931	5989	437
932	6000	430
933	6006	424
934	6014	418
935	6020	411
936	6026	405
937	6033	398
938	6039	392
939	6044	385
940	6050	379
941	6057	372
942	6062	366
943	6069	360
944	6075	353
945	6081	347
946	6087	340
947	6093	334
948	6099	327
949	6106	321
950	6112	314
951	6120	308
952	6126	302
953	6131	295
954	6137	289
955	6141	282
956	6148	276
957	6154	269
958	6159	263
959	6167	256
960	6174	250
961	6179	244
962	6185	237
963	6189	231
964	6194	224
965	6200	218
966	6206	211
967	6211	205
968	6225	199
969	6239	192
970	6250	186
971	6262	180
972	6269	173
973	6275	167
974	6282	161
975	6287	154
976	6292	148
977	6297	141
978	6303	135
979	6309	128
980	6317	122
981	6322	115
982	6329	109
983	6334	103
984	6339	96
985	6346	90
986	6353	83
987	6358	77
988	6366	70
989	6371	64
990	6381	57
991	6386	51
992	6392	45
993	6404	38
994	6411	32
995	6416	25
996	6422	19
997	6429	12
998	6434	6
999	6441	0
